"Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed"
"131,Rudy Gay\gayru01,SAS,$10087200,,,,,,Non-Bird Rights,$10087200"
"132,Jon Leuer\leuerjo01,DET,$10002681,$9508043,,,,,Cap Space,$19510724"
"133,Andre Roberson\roberan03,OKC,$10000000,$10740741,,,,,Bird Rights,$20740741"
"134,Danny Green\greenda02,TOR,$10000000,,,,,,Bird Rights,$10000000"
"135,Darren Collison\collida01,IND,$10000000,,,,,,Cap space,$10000000"
"136,Dwight Powell\poweldw01,DAL,$9631250,$10259375,,,,,Cap Space,$9631250"
"137,Matthew Dellavedova\dellama01,CLE,$9607500,$9607500,,,,,Cap Space,$19215000"
"138,Dante Exum\exumda01,UTA,$9600000,$9600000,$9600000,,,,Cap Space,$27300000"
"139,Jared Dudley\dudleja01,BRK,$9530000,,,,,,Cap Space,$9530000"
"140,Norman Powell\powelno01,TOR,$9367200,$10116576,$10865952,$11615328,,,Cap Space,$30349728"
"141,Josh Richardson\richajo01,MIA,$9367200,$10100000,$10800000,$11600000,,,Minimum Salary,$30267200"
"142,Bogdan Bogdanovic\bogdabo01,SAC,$9000000,$8529386,,,,,Cap space,$17529386"
"143,Rajon Rondo\rondora01,LAL,$9000000,,,,,,,$9000000"
"144,E'Twaun Moore\mooreet01,NOP,$8808685,$8664928,,,,,Cap Space,$17473613"
"145,Kosta Koufos\koufoko01,SAC,$8739500,,,,,,Cap Space,$8739500"
"146,Jerami Grant\grantje01,OKC,$8653847,$9346153,$9346153,,,,,$18000000"
"147,Fred VanVleet\vanvlfr01,TOR,$8653847,$9000000,,,,,Bird Rights,$17653847"
"148,Kyle Anderson\anderky01,MEM,$8641000,$9073050,$9505100,$9937150,,,MLE,$37156300"
"149,Julius Randle\randlju01,NOP,$8641000,$9073050,,,,,MLE,$8641000"
"150,Markieff Morris\morrima02,NOP,$8600000,,,,,,,$8600000"
"151,Jerryd Bayless\bayleje01,MIN,$8575916,,,,,,Cap Space,$8575916"
"152,Cristiano Felicio\feliccr01,CHI,$8470980,$8156500,$7529020,,,,Cap space,$24156500"
"153,Markelle Fultz\fultzma01,ORL,$8339880,$9745200,$12288697,,,,1st Round Pick,$18085080"
"154,Joe Harris\harrijo01,BRK,$8333333,$7670000,,,,,Early Bird Rights,$16003333"
"155,C.J. Miles\milescj01,MEM,$8333333,$8730158,,,,,MLE,$8333333"
"156,Shaun Livingston\livinsh01,GSW,$8307692,$7692308,,,,,Bird Rights,$10307692"
"157,Deandre Ayton\aytonde01,PHO,$8165160,$9562920,$10018200,$12632950,,,1st Round Pick,$17728080"
"158,Lou Williams\willilo02,LAC,$8000000,$8000000,$1500000,,,,Cap Space,$16000000"
"159,Garrett Temple\templga01,LAC,$8000000,,,,,,Cap Space,$8000000"
"160,P.J. Tucker\tuckepj01,HOU,$7969537,$8349039,$7969537,,,,MLE,$18887764"
"161,Cory Joseph\josepco01,IND,$7945000,,,,,,Cap Space,$7945000"
"162,JaMychal Green\greenja01,LAC,$7866667,,,,,,Bird Rights,$7866667"
"163,Karl-Anthony Towns\townska01,MIN,$7839435,$27250000,$29430000,$31610000,$33790000,,1st round pick,$163709435"
"164,Kyle Korver\korveky01,UTA,$7560000,$7500000,,,,,Bird Rights,$11000000"
"165,Jeremy Lamb\lambje01,CHO,$7488372,,,,,,Rookie scale extension,$7488372"
"166,Darrell Arthur\arthuda01,PHO,$7464912,,,,,,,$7464912"
"167,Lonzo Ball\balllo01,LAL,$7461960,$8719320,$11003782,,,,1st Round Pick,$16181280"
"168,Doug McDermott\mcderdo01,IND,$7333334,$7333334,$7333333,,,,,$22000001"
"169,Jae Crowder\crowdja01,UTA,$7305825,$7815533,,,,,Bird Rights,$15121358"
"170,Marvin Bagley\baglema01,SAC,$7305600,$8556120,$8963640,$11312114,,,1st Round Pick,$15861720"
"171,D.J. Augustin\augusdj01,ORL,$7250000,$7250000,,,,,Cap Space,$14500000"
"172,Dewayne Dedmon\dedmode01,ATL,$7200000,,,,,,Cap space,$7200000"
"173,Lance Thomas\thomala01,NYK,$7119650,$7583975,,,,,Cap Space,$8119650"
"174,D'Angelo Russell\russeda01,BRK,$7019698,,,,,,1st round pick,$7019698"
"175,Langston Galloway\gallola01,DET,$7000000,$7333333,,,,,MLE,$14333333"
"176,Davis Bertans\bertada01,SAS,$7000000,$7000000,,,,,Early Bird Rights,$14000000"
"177,Ersan Ilyasova\ilyaser01,MIL,$7000000,$7000000,$7000000,,,,MLE,$14000000"
"178,Boban Marjanovic\marjabo01,PHI,$7000000,,,,,,Cap Space,$7000000"
"179,Al-Farouq Aminu\aminual01,POR,$6957105,,,,,,Cap Space,$6957105"
"180,Jayson Tatum\tatumja01,BOS,$6700800,$7830000,$9897120,,,,1st Round Pick,$14530800"
"181,Luka Doncic\doncilu01,DAL,$6560640,$7683360,$8049360,$10174391,,,1st Round Pick,$14244000"
"182,Nemanja Bjelica\bjeline01,SAC,$6500000,$6825000,$7150000,,,,,$13325000"
"183,Mario Hezonja\hezonma01,NYK,$6500000,,,,,,MLE,$6500000"
"184,Ben Simmons\simmobe01,PHI,$6434520,$8113930,,,,,1st Round pick,$14548450"
"185,Milos Teodosic\teodomi01,LAC,$6300000,,,,,,,$6300000"
"186,Wayne Ellington\ellinwa01,PHO,$6270000,,,,,,,$6270000"
"187,Marco Belinelli\belinma01,SAS,$6153846,$5846154,,,,,MLE,$12000000"
"188,Wesley Johnson\johnswe01,WAS,$6134520,,,,,,Cap Space,$6134520"
"189,Josh Jackson\jacksjo02,PHO,$6041520,$7059480,$8930242,,,,1st Round Pick,$13101000"
"190,Montrezl Harrell\harremo01,LAC,$6000000,$6000000,,,,,,$12000000"
"191,Jonathon Simmons\simmojo02,PHI,$6000000,$5700000,,,,,Cap space,$7000000"
"192,Ish Smith\smithis01,DET,$6000000,,,,,,Cap Space,$6000000"
"193,Jaren Jackson\jacksja02,MEM,$5915040,$6927480,$7257360,$9180560,,,1st Round Pick,$12842520"
"194,Brandon Ingram\ingrabr01,LAL,$5757120,$7265485,,,,,1st Round pick,$13022605"
"195,Anthony Tolliver\tollian01,MIN,$5750000,,,,,,MLE,$5750000"
"196,Kristaps Porzingis\porzikr01,DAL,$5697054,,,,,,1st round pick,$5697054"
"197,Deron Williams\willide01,BRK,$5474787,$5474787,,,,,,$10949574"
"198,De'Aaron Fox\foxde01,SAC,$5470920,$6392760,$8099627,,,,1st Round Pick,$11863680"
