Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
79,Alec Burks,SG,27,TOT,58,1333,12.8,0.524,0.356,0.301,2.3,17,9.4,13.8,1.3,1.3,10.6,19.4,,0.8,0.7,1.4,0.052,,-1.4,-0.8,-2.3,-0.1
79,Alec Burks,SG,27,UTA,17,269,12.6,0.547,0.377,0.333,0.8,10,5.4,11.5,1.1,1.2,10.3,23.2,,0.2,0.3,0.5,0.081,,-2,-1.6,-3.6,-0.1
79,Alec Burks,SG,27,CLE,34,979,13.2,0.517,0.35,0.288,2.8,18.9,10.5,15.2,1.3,1.4,10.7,19.2,,0.6,0.3,0.9,0.043,,-1,-0.7,-1.8,0.1
79,Alec Burks,SG,27,SAC,7,85,8.4,0.523,0.333,0.333,1.2,17.2,9,5.8,1.6,1,10.4,9.3,,0,0.1,0.1,0.059,,-4,0.5,-3.5,0
80,Deonte Burton,SG,25,OKC,23,200,7.9,0.511,0.318,0.121,1.5,10,5.7,4.7,1.2,3.3,11.5,16,,-0.1,0.2,0.2,0.044,,-5.2,-0.2,-5.4,-0.2
81,Jimmy Butler,SF-SG,29,TOT,51,1714,20.8,0.58,0.227,0.39,5.7,10.8,8.3,18.2,2.8,1.5,8.1,22.4,,4.5,2.1,6.5,0.183,,2.9,0.7,3.6,2.4
81,Jimmy Butler,SG,29,MIN,10,361,22.4,0.579,0.287,0.389,4.7,10.8,7.7,18.3,3.2,2.4,7.1,22.9,,1,0.4,1.4,0.185,,3.8,1,4.8,0.6
81,Jimmy Butler,SF,29,PHI,41,1353,20.4,0.58,0.21,0.39,6,10.8,8.4,18.1,2.6,1.2,8.4,22.2,,3.5,1.7,5.1,0.182,,2.7,0.6,3.3,1.8
82,Bruno Caboclo,SF,23,MEM,16,342,10.1,0.526,0.633,0.178,4.9,14.9,9.8,8.3,1,4.7,12.6,14.6,,0.1,0.5,0.5,0.072,,-2.4,1.7,-0.7,0.1
83,Jose Calderon,PG,37,DET,46,621,7.1,0.46,0.475,0.093,1.5,8.5,4.9,24.9,1.3,0.4,22.2,10.9,,0,0.6,0.6,0.045,,-3.9,-1,-4.9,-0.4
84,Kentavious Caldwell-Pope,SG,25,LAL,63,1468,12,0.569,0.574,0.224,2.5,9.1,5.9,6.3,1.7,0.5,7.7,16.5,,1.5,1.2,2.7,0.089,,0.1,-1.1,-1.1,0.3
85,Isaiah Canaan,PG,27,TOT,30,629,8,0.518,0.585,0.146,1,9.3,5.1,18.3,1.1,0.3,16.7,14.2,,0.1,0.1,0.1,0.01,,-2.4,-2.7,-5,-0.5
85,Isaiah Canaan,PG,27,PHO,19,503,7.4,0.515,0.558,0.155,1.1,10,5.5,17.1,1.1,0,17.4,14.3,,-0.1,0,-0.1,-0.006,,-2.7,-2.5,-5.1,-0.4
85,Isaiah Canaan,PG,27,MIN,7,95,12.4,0.536,0.655,0.138,0,5.7,2.8,27,1,0.9,11.5,15.3,,0.1,0,0.2,0.088,,-0.4,-4.5,-4.9,-0.1
85,Isaiah Canaan,PG,27,MIL,4,31,5.3,0.5,0.833,0,3.5,9.4,6.6,11.6,0,2.7,25,10.9,,0,0,0,0.032,,-4.1,-0.1,-4.2,0
86,Clint Capela,C,24,HOU,47,1608,23.5,0.643,0,0.336,15,26.7,20.6,7,0.9,4.4,10.2,18.6,,5.3,1.7,6.9,0.207,,1.1,1.1,2.2,1.7
87,DeMarre Carroll,SF,32,BRK,52,1326,12.2,0.539,0.526,0.454,4.4,17.8,11.1,7.4,0.9,0.5,9.3,18.8,,1.2,1.1,2.3,0.083,,-1,-1,-2,0
88,Jevon Carter,PG,23,MEM,27,395,4.8,0.36,0.534,0.121,1.4,9.7,5.4,16.4,2.8,2.4,15.8,16.6,,-1,0.6,-0.4,-0.047,,-6.1,1.1,-5,-0.3
89,Vince Carter,SF,42,ATL,58,944,11.9,0.577,0.662,0.131,2.7,14.5,8.5,8.7,1.5,1.7,10.1,16.7,,0.8,0.5,1.4,0.069,,-0.3,-1.5,-1.9,0
