Rk_x,Player,Pos,Age,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,Tm_y,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
28,ron baker,SG,25.0,TOT,15.0,152.0,2.5,0.309,0.65,0.3,0.7,7.2,3.8,12.8,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.035,-5.9,-0.8,-6.7,-0.2,220,NYK,4544400,,,,,,,4544400
28,ron baker,SG,25.0,TOT,15.0,152.0,2.5,0.309,0.65,0.3,0.7,7.2,3.8,12.8,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.035,-5.9,-0.8,-6.7,-0.2,522,WAS,170915,,,,,,,170915
28,ron baker,SG,25.0,NYK,11.0,107.0,4.4,0.376,0.563,0.375,1.0,6.0,3.4,16.1,2.2,0.0,13.9,8.6,0.0,0.0,0.0,0.001,-4.6,-1.5,-6.1,-0.1,220,NYK,4544400,,,,,,,4544400
28,ron baker,SG,25.0,NYK,11.0,107.0,4.4,0.376,0.563,0.375,1.0,6.0,3.4,16.1,2.2,0.0,13.9,8.6,0.0,0.0,0.0,0.001,-4.6,-1.5,-6.1,-0.1,522,WAS,170915,,,,,,,170915
28,ron baker,SG,25.0,WAS,4.0,45.0,-2.0,0.0,1.0,0.0,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.12,-8.8,0.8,-8.0,-0.1,220,NYK,4544400,,,,,,,4544400
28,ron baker,SG,25.0,WAS,4.0,45.0,-2.0,0.0,1.0,0.0,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.12,-8.8,0.8,-8.0,-0.1,522,WAS,170915,,,,,,,170915
29,wade baldwin,PG,22.0,POR,16.0,94.0,1.3,0.396,0.273,0.33299999999999996,2.3,14.4,8.5,16.7,0.5,1.7,27.0,23.3,-0.4,0.1,-0.3,-0.153,-9.3,-1.4,-10.7,-0.2,402,IND,1544951,,,,,,,1544951
30,lonzo ball,PG,21.0,LAL,47.0,1423.0,11.7,0.48700000000000004,0.5,0.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.5,0.052000000000000005,-0.9,1.4,0.5,0.9,167,LAL,7461960,8719320,11003782,,,,1st Round Pick,16181280
31,mohamed bamba,C,20.0,ORL,47.0,766.0,14.9,0.539,0.28800000000000003,0.259,8.8,23.9,16.2,7.5,0.8,7.0,13.7,17.8,0.3,1.4,1.7,0.106,-3.3,3.2,-0.2,0.4,217,ORL,4865040,5697600,5969040,7568742,,,1st Round Pick,24100422
32,j.j. barea,PG,34.0,DAL,38.0,752.0,16.4,0.495,0.332,0.203,1.9,11.6,6.8,47.6,1.4,0.1,14.7,28.1,0.4,0.6,1.0,0.064,1.1,-2.2,-1.1,0.2,240,DAL,3710850,,,,,,Cap Space,3710850
33,harrison barnes,PF-SF,26.0,TOT,75.0,2480.0,12.5,0.546,0.429,0.265,2.3,12.8,7.5,6.7,1.0,0.4,8.0,20.9,1.7,1.6,3.3,0.064,-0.7,-1.7,-2.5,-0.3,33,SAC,24107258,25102512,,,,,Cap Space,24107258
33,harrison barnes,PF,26.0,DAL,49.0,1584.0,13.1,0.5379999999999999,0.434,0.276,2.5,11.5,7.0,6.3,1.0,0.6,7.8,23.7,0.9,1.1,1.9,0.059000000000000004,-0.8,-2.1,-3.0,-0.4,33,SAC,24107258,25102512,,,,,Cap Space,24107258
33,harrison barnes,SF,26.0,SAC,26.0,896.0,11.5,0.5660000000000001,0.41700000000000004,0.23600000000000002,2.1,15.1,8.4,7.3,0.9,0.1,8.6,16.0,0.8,0.6,1.4,0.07400000000000001,-0.6,-1.0,-1.5,0.1,33,SAC,24107258,25102512,,,,,Cap Space,24107258
34,will barton,SG,28.0,DEN,40.0,1113.0,11.2,0.507,0.42700000000000005,0.16,3.0,14.7,8.9,14.6,0.8,1.7,11.8,20.4,0.2,1.1,1.2,0.052000000000000005,-1.6,-0.5,-2.1,0.0,114,DEN,11830358,12960000,13920000,14880000,,,,38710358
35,keita bates-diop,SF,23.0,MIN,27.0,442.0,9.5,0.48700000000000004,0.36,0.20800000000000002,3.6,13.2,8.3,4.3,1.5,2.3,6.8,13.9,0.0,0.3,0.3,0.035,-3.0,-0.3,-3.3,-0.2,464,MIN,838464,1416852,1663861,,,,MLE,2255316
36,nicolas batum,SF,30.0,CHO,72.0,2284.0,12.1,0.584,0.528,0.16,3.2,14.8,8.9,14.5,1.5,1.6,16.2,13.4,2.0,1.7,3.7,0.078,0.0,0.9,0.9,1.7,34,CHO,24000000,25565217,27130434,,,,Cap Space,49565217
37,jerryd bayless,PG,30.0,MIN,34.0,657.0,8.6,0.431,0.426,0.122,1.8,8.4,5.0,24.6,1.3,0.3,11.7,17.5,-0.2,0.2,0.0,-0.001,-2.3,-2.7,-5.0,-0.5,151,MIN,8575916,,,,,,Cap Space,8575916
