,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
64,55,Bogdan Bogdanovic,SG,26,SAC,54,1540,14.0,.527,.431,.202,1.7,11.9,6.7,19.9,1.8,0.7,11.6,22.7,,0.8,1.3,2.1,.066,,0.3,-0.9,-0.6,0.5
65,56,Bojan Bogdanovic,SF,29,IND,67,2131,15.9,.615,.371,.285,1.6,12.4,7.1,8.7,1.3,0.0,10.0,21.9,,3.3,2.4,5.7,.129,,1.3,-1.4,-0.1,1.0
66,57,Jonah Bolden,PF,23,PHI,36,477,12.5,.601,.568,.178,7.6,20.4,14.2,8.4,1.3,5.4,19.6,13.9,,0.2,0.8,1.0,.101,,-1.5,2.5,1.1,0.4
67,58,Isaac Bonga,PG,19,LAL,10,38,9.7,.358,.200,.900,8.4,13.3,10.9,22.1,3.7,2.1,22.3,19.6,,-0.1,0.1,0.0,-0.028,,-6.1,2.3,-3.8,0.0
68,59,Devin Booker,SG,22,PHO,53,1853,19.1,.576,.336,.340,1.9,11.3,6.5,33.3,1.3,0.5,15.6,31.7,,2.2,0.3,2.6,.067,,3.2,-2.8,0.4,1.1
69,60,Chris Boucher,PF,26,TOR,22,111,24.7,.551,.518,.268,12.8,21.1,17.0,0.0,1.7,14.8,4.6,25.2,,0.2,0.3,0.5,.225,,-1.7,0.9,-0.8,0.0
70,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
71,61,Avery Bradley,SG,28,TOT,61,1852,7.7,.495,.398,.084,2.4,7.5,5.0,11.7,1.1,0.7,12.3,16.0,,-0.6,1.1,0.5,.014,,-1.7,-0.8,-2.4,-0.2
72,61,Avery Bradley,SG,28,LAC,49,1463,5.6,.464,.410,.060,2.6,6.7,4.7,8.9,0.9,0.9,12.4,14.2,,-0.9,0.7,-0.2,-0.008,,-2.3,-0.6,-2.9,-0.3
73,61,Avery Bradley,SG,28,MEM,12,389,15.4,.573,.368,.147,1.7,10.3,6.0,22.2,1.8,0.0,12.1,22.9,,0.4,0.4,0.8,.094,,0.8,-1.5,-0.7,0.1
74,62,Tony Bradley,C,21,UTA,1,9,-10.4,.000,.000,.000,24.2,11.9,18.0,0.0,0.0,0.0,25.0,19.0,,-0.1,0.0,-0.1,-0.342,,-17.4,-5.6,-23.0,0.0
75,63,Corey Brewer,SF,32,TOT,15,259,11.4,.542,.380,.329,2.5,9.6,6.1,9.5,2.9,1.6,10.8,16.3,,0.1,0.3,0.5,.086,,-1.7,0.4,-1.2,0.1
76,63,Corey Brewer,SF,32,PHI,7,140,10.8,.484,.286,.265,3.1,9.6,6.5,10.1,4.0,1.1,12.8,18.8,,-0.1,0.2,0.1,.048,,-3.1,1.0,-2.1,0.0
77,63,Corey Brewer,SF,32,SAC,8,119,12.1,.630,.533,.433,1.7,9.6,5.6,8.8,1.6,2.2,7.7,13.4,,0.2,0.1,0.3,.131,,0.1,-0.3,-0.2,0.1
78,64,Mikal Bridges,SF,22,PHO,68,1897,11.5,.571,.584,.209,2.7,10.0,6.3,9.8,2.8,1.5,10.3,12.3,,1.7,1.2,2.8,.071,,-0.1,0.7,0.7,1.3
79,65,Miles Bridges,SF,20,CHO,65,1254,12.1,.535,.389,.175,4.2,16.3,10.1,6.6,1.4,2.5,8.6,15.5,,0.7,1.1,1.8,.070,,-1.9,0.0,-1.8,0.1
80,66,Isaiah Briscoe,PG,22,ORL,39,559,6.8,.455,.246,.188,0.9,13.4,7.1,21.3,1.0,0.3,17.2,14.1,,-0.3,0.5,0.2,.020,,-5.0,-0.7,-5.7,-0.5
81,67,Ryan Broekhoff,SG,28,DAL,30,253,8.9,.555,.753,.027,1.3,11.8,6.6,8.8,0.6,1.0,8.7,13.7,,0.2,0.2,0.3,.060,,-1.7,-1.6,-3.4,-0.1
82,68,Malcolm Brogdon,SG,26,MIL,62,1805,18.0,.614,.324,.204,3.9,11.9,8.2,16.2,1.1,0.6,10.0,20.7,,4.3,2.3,6.6,.175,,2.0,-0.4,1.7,1.7
83,69,Dillon Brooks,SF,23,MEM,18,330,7.7,.499,.328,.246,3.0,7.6,5.3,7.7,1.5,1.2,12.3,21.1,,-0.3,0.3,0.0,.002,,-4.2,-1.6,-5.8,-0.3
84,70,MarShon Brooks,SG,30,MEM,29,387,11.7,.518,.320,.195,3.4,9.8,6.6,11.2,1.2,1.0,10.3,23.8,,-0.2,0.4,0.2,.024,,-2.9,-2.4,-5.3,-0.3
85,71,Bruce Brown,SG,22,DET,58,1165,6.4,.459,.300,.185,3.5,11.4,7.4,8.6,1.1,2.0,12.0,12.2,,-0.3,1.2,0.9,.039,,-3.9,1.5,-2.4,-0.1
86,72,Jaylen Brown,SG,22,BOS,63,1631,13.2,.536,.348,.237,3.8,14.5,9.1,7.6,1.8,1.6,10.1,22.2,,0.3,2.2,2.5,.073,,-1.8,-0.3,-2.2,-0.1
87,73,Lorenzo Brown,PG,28,TOR,26,212,6.4,.380,.394,.042,2.6,13.0,7.9,17.3,2.7,1.9,18.1,17.8,,-0.5,0.3,-0.1,-0.028,,-5.7,1.5,-4.2,-0.1
88,74,Sterling Brown,SG,23,MIL,48,769,10.3,.563,.521,.117,3.4,13.9,8.9,10.1,1.2,0.5,12.5,14.0,,0.6,1.0,1.6,.099,,-1.4,0.0,-1.4,0.1
89,75,Troy Brown,SF,19,WAS,37,317,12.5,.469,.271,.262,5.1,18.2,11.5,19.7,1.6,0.5,8.4,17.4,,0.2,0.2,0.4,.060,,-2.4,-1.2,-3.6,-0.1
90,76,Jalen Brunson,PG,22,DAL,58,1147,11.5,.528,.319,.198,1.8,10.1,6.0,21.5,1.2,0.2,13.2,18.6,,0.6,0.8,1.4,.059,,-1.7,-1.5,-3.2,-0.3
91,77,Thomas Bryant,C,21,WAS,57,1081,21.1,.681,.182,.274,7.8,24.8,16.2,9.6,0.9,3.8,9.3,17.3,,3.2,1.0,4.2,.186,,1.2,0.5,1.6,1.0
92,78,Reggie Bullock,SG,27,TOT,55,1679,10.4,.561,.662,.144,1.3,8.8,5.0,10.7,0.9,0.5,9.7,15.7,,1.5,1.3,2.7,.079,,0.2,-0.8,-0.7,0.6
93,78,Reggie Bullock,SG,27,DET,44,1355,11.0,.569,.667,.145,1.6,8.6,5.0,11.9,0.9,0.3,10.3,16.6,,1.4,1.0,2.4,.087,,0.7,-1.0,-0.2,0.6
94,78,Reggie Bullock,SG,27,LAL,11,324,7.8,.521,.635,.141,0.3,9.7,5.1,5.5,1.0,1.5,6.2,12.3,,0.1,0.2,0.3,.045,,-2.1,-0.4,-2.5,0.0
95,79,Trey Burke,PG,26,TOT,44,844,15.7,.503,.256,.220,2.7,7.7,5.1,22.7,1.6,0.5,8.0,25.3,,0.6,0.4,1.0,.056,,-0.1,-2.9,-3.0,-0.2
